,text,date,user.username,Negative,Neutral,Positive
14,Direct delivery model pays off as Murphy profit soars to £67m dlvr.it/T86P0B,"Jun 11, 2024 · 6:18 AM UTC",@ConstructionEnq,0.0044615325,0.2028391,0.7926994
15,JTRE starts £400m 21-floor London tower scheme dlvr.it/T84Clg,"Jun 10, 2024 · 9:39 AM UTC",@ConstructionEnq,0.033875264,0.913171,0.052953754
16,Bid race starts for up £95m repairs to PFI hospital dlvr.it/T83zSY,"Jun 10, 2024 · 7:37 AM UTC",@ConstructionEnq,0.122754835,0.84627384,0.03097125
17,R G Carter construction profits up despite 24% revenue fall dlvr.it/T83xCm,"Jun 10, 2024 · 7:12 AM UTC",@ConstructionEnq,0.026617736,0.7056068,0.26777545
18,Building Safety changes slow down construction recovery dlvr.it/T83xC1,"Jun 10, 2024 · 7:12 AM UTC",@ConstructionEnq,0.4135229,0.5510361,0.035440985
19,Knight Build owed money for work on UK’s poshest street dlvr.it/T83sV1,"Jun 10, 2024 · 6:30 AM UTC",@ConstructionEnq,0.54581106,0.42508245,0.029106539
20,Winvic ranks top of May contracts league dlvr.it/T83sTq,"Jun 10, 2024 · 6:30 AM UTC",@ConstructionEnq,0.012405223,0.79312986,0.19446494
21,Refurbs power London office work to record high dlvr.it/T83sT4,"Jun 10, 2024 · 6:30 AM UTC",@ConstructionEnq,0.026487825,0.82728004,0.14623213
22,M&E firms warn of persistent skills shortages dlvr.it/T7xxd3,"Jun 7, 2024 · 7:27 AM UTC",@ConstructionEnq,0.42359996,0.5520431,0.024356978
23,Scaffolder dies from chemical burns dlvr.it/T7xqst,"Jun 7, 2024 · 6:25 AM UTC",@ConstructionEnq,0.88068783,0.114539534,0.0047726408
24,Southern Water names consultants for AMP8 dlvr.it/T7x4TC,"Jun 6, 2024 · 8:32 PM UTC",@ConstructionEnq,0.046798214,0.9236427,0.029559018
25,Wates rejigs businesses as veteran leader retires dlvr.it/T7x4SG,"Jun 6, 2024 · 8:32 PM UTC",@ConstructionEnq,0.041103296,0.91316015,0.045736585
26,Construction buyers see momentum building dlvr.it/T7vZy9,"Jun 6, 2024 · 8:48 AM UTC",@ConstructionEnq,0.0097612385,0.80888826,0.18135054
27,Bouygues bags £80m London NHS diagnostic centre job dlvr.it/T7vS11,"Jun 6, 2024 · 7:39 AM UTC",@ConstructionEnq,0.04069038,0.8748435,0.08446612
28,London £3bn schools framework out to tender dlvr.it/T7vRzc,"Jun 6, 2024 · 7:39 AM UTC",@ConstructionEnq,0.060838595,0.8929201,0.0462413
29,Openreach fined £1.34m after engineer drowns in river dlvr.it/T7vMKg,"Jun 6, 2024 · 6:51 AM UTC",@ConstructionEnq,0.8531871,0.14122155,0.0055914
30,Road sweeper firm Go Plant went down owing suppliers £4.3m dlvr.it/T7vKSD,"Jun 6, 2024 · 6:28 AM UTC",@ConstructionEnq,0.68299615,0.30357224,0.013431637
31,Glencar bags £30m Cambridge lab and office job dlvr.it/T7vKRw,"Jun 6, 2024 · 6:28 AM UTC",@ConstructionEnq,0.025458202,0.9000607,0.07448108
32,Berkeley’s £270m Bath gas works scheme approved dlvr.it/T7vKPL,"Jun 6, 2024 · 6:28 AM UTC",@ConstructionEnq,0.005851672,0.6374,0.3567483
33,Bids due in to replace Luton Airport car park destroyed by fire dlvr.it/T7scw6,"Jun 5, 2024 · 1:09 PM UTC",@ConstructionEnq,0.73155785,0.2590945,0.009347575
34,Seven secure £3bn United Utilities sewage works deal dlvr.it/T7rrmZ,"Jun 5, 2024 · 7:16 AM UTC",@ConstructionEnq,0.01336207,0.7825068,0.20413104
35,Kier FM arm splits into three business streams dlvr.it/T7rrls,"Jun 5, 2024 · 7:16 AM UTC",@ConstructionEnq,0.07186892,0.89699286,0.031138202
36,Plan in for £500m London beds and sheds docks scheme dlvr.it/T7rq6H,"Jun 5, 2024 · 7:02 AM UTC",@ConstructionEnq,0.035980612,0.91637754,0.047641847
37,Boot gets nod for £110m Walsall warehouse scheme dlvr.it/T7rlwc,"Jun 5, 2024 · 6:23 AM UTC",@ConstructionEnq,0.010018308,0.786783,0.20319876
38,Surface repair rivals offer lifeline to ex-Merlin staff dlvr.it/T7rlRD,"Jun 5, 2024 · 6:17 AM UTC",@ConstructionEnq,0.032596793,0.8056846,0.16171864
39,Operator trapped on crane boom in London fire dlvr.it/T7qWwL,"Jun 4, 2024 · 4:36 PM UTC",@ConstructionEnq,0.45379537,0.5284817,0.017722866
40,Statom Group wins civils package to transform port site dlvr.it/T7pTbC,"Jun 4, 2024 · 8:57 AM UTC",@ConstructionEnq,0.0034586592,0.35417753,0.6423638
41,Swedish giant officially launches UK operation dlvr.it/T7pLQ9,"Jun 4, 2024 · 7:45 AM UTC",@ConstructionEnq,0.007353211,0.85065806,0.14198871
42,Wrekin joins civil engineering products “supergroup” dlvr.it/T7pJsF,"Jun 4, 2024 · 7:28 AM UTC",@ConstructionEnq,0.027988166,0.89784825,0.07416351
43,"Vistry strikes deal to build 1,750 private rental homes dlvr.it/T7pDJW","Jun 4, 2024 · 6:42 AM UTC",@ConstructionEnq,0.012323465,0.9228547,0.06482188
44,Seddon Construction returns to profit dlvr.it/T7pCq8,"Jun 4, 2024 · 6:36 AM UTC",@ConstructionEnq,0.0052967346,0.62693167,0.3677716
45,Top construction chiefs call for more foreign workers dlvr.it/T7nfKl,"Jun 3, 2024 · 11:05 PM UTC",@ConstructionEnq,0.08104767,0.8394228,0.07952957
46,Third contractor to finally finish £135m Swansea job dlvr.it/T7mmL9,"Jun 3, 2024 · 2:59 PM UTC",@ConstructionEnq,0.02917196,0.9073205,0.06350754
47,JRL plans first Manchester 28 storey resi block dlvr.it/T7lrGz,"Jun 3, 2024 · 7:47 AM UTC",@ConstructionEnq,0.037240956,0.93041867,0.032340337
48,Barratt and Springfield deal to deliver new Scottish village dlvr.it/T7lnZS,"Jun 3, 2024 · 7:19 AM UTC",@ConstructionEnq,0.018207036,0.9281259,0.05366712
49,CR Construction (UK) wins £34m historic mill restoration dlvr.it/T7lnYG,"Jun 3, 2024 · 7:19 AM UTC",@ConstructionEnq,0.0071621845,0.5894707,0.40336716
50,Weston Homes names next CEO dlvr.it/T7lnV3,"Jun 3, 2024 · 7:19 AM UTC",@ConstructionEnq,0.02892812,0.92638737,0.044684626
51,Staff at surface repair specialist Merlin looking for new jobs dlvr.it/T7lh2P,"Jun 3, 2024 · 6:19 AM UTC",@ConstructionEnq,0.010334052,0.9191591,0.07050681
52,Vigil for worker killed at Berkeley site dlvr.it/T7lgDJ,"Jun 3, 2024 · 6:08 AM UTC",@ConstructionEnq,0.6607027,0.3314079,0.007889437
53,Industry rebar supplies at risk from Chatham Dock scheme dlvr.it/T7dlkT,"May 31, 2024 · 7:26 AM UTC",@ConstructionEnq,0.7518403,0.24265835,0.0055013597
54,18 win £600m North Wales construction framework dlvr.it/T7djCM,"May 31, 2024 · 7:02 AM UTC",@ConstructionEnq,0.009491843,0.63605917,0.35444897
55,Kier chalks up £23m Bradford school job dlvr.it/T7djC5,"May 31, 2024 · 7:02 AM UTC",@ConstructionEnq,0.070593126,0.8833185,0.046088375
56,Manchester 37-storey student tower approved dlvr.it/T7djBl,"May 31, 2024 · 7:02 AM UTC",@ConstructionEnq,0.011867592,0.82592535,0.16220705
57,Galliford Try wins £70m Oxford immigration centre dlvr.it/T7dj9c,"May 31, 2024 · 7:02 AM UTC",@ConstructionEnq,0.015591516,0.7089887,0.2754197
58,Subcontractors wanted across Glasgow dlvr.it/T7dfzV,"May 31, 2024 · 6:36 AM UTC",@ConstructionEnq,0.062206075,0.8965529,0.04124103
59,M&E sector leads rise in subcontractor tender activity dlvr.it/T7bB5r,"May 30, 2024 · 7:21 AM UTC",@ConstructionEnq,0.004169497,0.5289219,0.4669087
60,Court fight continues for specialist hit by CCJ blunder dlvr.it/T7bB4R,"May 30, 2024 · 7:21 AM UTC",@ConstructionEnq,0.29982206,0.68439454,0.015783401
61,Funding deal for Salford Michigan Tower job dlvr.it/T7b5sq,"May 30, 2024 · 6:34 AM UTC",@ConstructionEnq,0.017660143,0.93612254,0.04621727
62,Steel contractor Embrace targets £100m revenue dlvr.it/T7b5q2,"May 30, 2024 · 6:34 AM UTC",@ConstructionEnq,0.008637023,0.784657,0.20670594
63,Morgan Sindall bags £60m raft of NHS projects dlvr.it/T7YT8p,"May 29, 2024 · 1:44 PM UTC",@ConstructionEnq,0.02381683,0.87676495,0.0994182
64,Peri buys shoring and temporary bridge specialist Mabey Hire dlvr.it/T7Xsyb,"May 29, 2024 · 9:21 AM UTC",@ConstructionEnq,0.07009168,0.89864016,0.03126821
65,Northumbria Uni invites bids for £75m CHASE project dlvr.it/T7XcqV,"May 29, 2024 · 7:14 AM UTC",@ConstructionEnq,0.009295338,0.91585046,0.07485421
66,McLaren to build new Hertfordshire primary school dlvr.it/T7XcLt,"May 29, 2024 · 7:10 AM UTC",@ConstructionEnq,0.01502999,0.91815525,0.066814706
67,Civils firm Akela appoints former Robertson director as MD dlvr.it/T7XVwC,"May 29, 2024 · 6:11 AM UTC",@ConstructionEnq,0.030608691,0.92385995,0.045531232
68,Vinci/McAlpine go-ahead for £312m Midlands hospitals revamp dlvr.it/T7XVvp,"May 29, 2024 · 6:11 AM UTC",@ConstructionEnq,0.023197245,0.8959085,0.08089434
69,Mount Anvil seals Isle of Dogs estate rebuild dlvr.it/T7XTpS,"May 29, 2024 · 6:01 AM UTC",@ConstructionEnq,0.064171925,0.9040128,0.03181522
70,Developer picked for Stafford town centre regeneration dlvr.it/T7XTnv,"May 29, 2024 · 6:01 AM UTC",@ConstructionEnq,0.024562947,0.93362236,0.041814692
71,Lendlease puts construction arm up for sale dlvr.it/T7VZhN,"May 28, 2024 · 11:51 AM UTC",@ConstructionEnq,0.04637352,0.91322905,0.040397495
72,Caddick steps-in at former Lane End housing job dlvr.it/T7V2SS,"May 28, 2024 · 7:35 AM UTC",@ConstructionEnq,0.046995297,0.9259295,0.027075138
73,BAM wins first phase of North Devon hospital revamp dlvr.it/T7TwjB,"May 28, 2024 · 6:35 AM UTC",@ConstructionEnq,0.0052048615,0.50513494,0.48966023
74,Costain A1 £260m dualling job finally gets go-ahead dlvr.it/T7Twh7,"May 28, 2024 · 6:35 AM UTC",@ConstructionEnq,0.011653505,0.6009891,0.38735735
75,Plans in for Leeds iconic Tetley building revamp dlvr.it/T7Twfg,"May 28, 2024 · 6:35 AM UTC",@ConstructionEnq,0.008069434,0.8769791,0.11495145
76,Election delays decision on Lower Thames Crossing dlvr.it/T7TvV8,"May 28, 2024 · 6:20 AM UTC",@ConstructionEnq,0.49194652,0.4919536,0.016099885
77,Former Crossrail boss Mark Wild to lead HS2 dlvr.it/T7SwhC,"May 27, 2024 · 5:48 PM UTC",@ConstructionEnq,0.05582965,0.9099294,0.03424088
78,Receivers in at £125m Manchester tower developer dlvr.it/T7QwX4,"May 26, 2024 · 8:50 PM UTC",@ConstructionEnq,0.019392975,0.9216223,0.05898475
79,Strabag UK suffers further big trading loss dlvr.it/T7KXg3,"May 24, 2024 · 7:11 AM UTC",@ConstructionEnq,0.8355112,0.15607907,0.008409667
80,Architects now upbeat after 10-months of work gloom dlvr.it/T7KT90,"May 24, 2024 · 6:35 AM UTC",@ConstructionEnq,0.008043321,0.32183936,0.6701173
81,Durham Uni picks UPP for £130m student scheme dlvr.it/T7KT64,"May 24, 2024 · 6:35 AM UTC",@ConstructionEnq,0.03438777,0.918281,0.04733128
82,Kilkern wins drainage deal at £480m green energy plant dlvr.it/T7JqBs,"May 23, 2024 · 10:09 PM UTC",@ConstructionEnq,0.008094772,0.58085096,0.41105425
83,Motorist dies after collision with road paver dlvr.it/T7J6gr,"May 23, 2024 · 4:02 PM UTC",@ConstructionEnq,0.89027685,0.10541583,0.0043072165
84,McLaren Living appoints HG Construction for £69m scheme dlvr.it/T7HXnr,"May 23, 2024 · 12:02 PM UTC",@ConstructionEnq,0.026905764,0.9313404,0.041753873
85,McAlpine pulls out of £55m Carlisle Citadels project dlvr.it/T7HQHB,"May 23, 2024 · 11:06 AM UTC",@ConstructionEnq,0.19287199,0.7814501,0.025677897
86,National Grid raises £7bn for big infrastructure upgrade dlvr.it/T7H1rV,"May 23, 2024 · 7:57 AM UTC",@ConstructionEnq,0.0054438445,0.4491992,0.5453569
87,Hunt starts for nuclear fusion plant construction partner dlvr.it/T7GzVb,"May 23, 2024 · 7:30 AM UTC",@ConstructionEnq,0.038664814,0.9320514,0.029283773
88,Galliford Try to re-enter affordable homes market dlvr.it/T7GwPT,"May 23, 2024 · 7:01 AM UTC",@ConstructionEnq,0.009840281,0.87171006,0.118449636
89,Former Sellar chief to lead civils contractor Kilnbridge dlvr.it/T7GwMm,"May 23, 2024 · 7:01 AM UTC",@ConstructionEnq,0.0717215,0.897722,0.03055646
90,Squibb liquidator probes £2m of “missing” plant dlvr.it/T7GvxS,"May 23, 2024 · 6:56 AM UTC",@ConstructionEnq,0.3538726,0.62652165,0.019605791
91,Grenfell police probe to last at least until end of 2025 dlvr.it/T7GF7D,"May 22, 2024 · 10:09 PM UTC",@ConstructionEnq,0.04709109,0.9162438,0.036665168
92,Quest now offers latest industrial vacuum system dlvr.it/T7FNlf,"May 22, 2024 · 3:05 PM UTC",@ConstructionEnq,0.0068672188,0.8125222,0.18061061
93,Mace confirms £100m London office retrofit dlvr.it/T7Dp8W,"May 22, 2024 · 11:02 AM UTC",@ConstructionEnq,0.023551572,0.90585464,0.070593745
94,Wylfa chosen for next big nuclear power station build dlvr.it/T7DPqg,"May 22, 2024 · 8:01 AM UTC",@ConstructionEnq,0.020592218,0.91100353,0.068404265
95,Civils contractor A Catlow files administration notice dlvr.it/T7DKDS,"May 22, 2024 · 7:09 AM UTC",@ConstructionEnq,0.1309025,0.8489583,0.020139206
96,Bowmer & Kirkland trading profit halves dlvr.it/T7DK9f,"May 22, 2024 · 7:09 AM UTC",@ConstructionEnq,0.090103455,0.8706744,0.03922214
97,Green light for ARC Oxford lab campus dlvr.it/T7DFp4,"May 22, 2024 · 6:33 AM UTC",@ConstructionEnq,0.0036646447,0.790055,0.20628037
98,Piling specialist Van Elle plans further job cuts dlvr.it/T7DFm5,"May 22, 2024 · 6:33 AM UTC",@ConstructionEnq,0.38574862,0.58569294,0.028558444
99,40% affordable homes target for Labour’s new towns dlvr.it/T7Ccn5,"May 21, 2024 · 10:34 PM UTC",@ConstructionEnq,0.026331214,0.7635513,0.21011749
100,Stonehenge tunnel hit by another legal delay dlvr.it/T7BcF2,"May 21, 2024 · 2:14 PM UTC",@ConstructionEnq,0.4694294,0.5123274,0.018243195
101,Plans go in for huge Olympic Park construction hub dlvr.it/T79ssC,"May 21, 2024 · 9:04 AM UTC",@ConstructionEnq,0.0074914466,0.7835038,0.20900483
102,Plan for £100m Liverpool Baltic station dlvr.it/T79kt8,"May 21, 2024 · 7:59 AM UTC",@ConstructionEnq,0.032010585,0.9225146,0.04547471
103,Vistry seals £157m West London housing deal dlvr.it/T79gL2,"May 21, 2024 · 7:20 AM UTC",@ConstructionEnq,0.012214308,0.88207775,0.1057079
104,Streamlined Watkin Jones returns to profit in first half dlvr.it/T79gGF,"May 21, 2024 · 7:20 AM UTC",@ConstructionEnq,0.0046131886,0.7287721,0.26661465
105,Surgo Construction went down owing £4.5m dlvr.it/T79Zym,"May 21, 2024 · 6:36 AM UTC",@ConstructionEnq,0.58766955,0.3926785,0.019651957
106,BAM wins £33m Kent secondary school job dlvr.it/T79ZvZ,"May 21, 2024 · 6:36 AM UTC",@ConstructionEnq,0.0117890695,0.65666956,0.3315414
107,Bellway hires ex-brickie as group construction chief dlvr.it/T79ZrF,"May 21, 2024 · 6:36 AM UTC",@ConstructionEnq,0.044124577,0.91682756,0.039047882
108,Persimmon under fire for delays to £10m relief road dlvr.it/T79ZQn,"May 21, 2024 · 6:30 AM UTC",@ConstructionEnq,0.60272014,0.38114613,0.01613376
109,Aluminium cladding specialist collapses dlvr.it/T779ZK,"May 20, 2024 · 7:39 AM UTC",@ConstructionEnq,0.14110309,0.82217824,0.036718655
110,Brickwork contractor Lee Marley returns to profit dlvr.it/T773nH,"May 20, 2024 · 6:38 AM UTC",@ConstructionEnq,0.004937541,0.84173954,0.15332285
111,Farrans makes breakthrough on tricky tunnel job dlvr.it/T773n8,"May 20, 2024 · 6:38 AM UTC",@ConstructionEnq,0.0039392533,0.27537474,0.720686
112,Heidelberg buys aggregates and earthworks specialist B&A dlvr.it/T772pg,"May 20, 2024 · 6:27 AM UTC",@ConstructionEnq,0.054534685,0.90132254,0.04414278
113,Housing contractor Durkan suffers second year of losses dlvr.it/T772n8,"May 20, 2024 · 6:27 AM UTC",@ConstructionEnq,0.7989572,0.19379301,0.007249835
114,Flagship biodiversity net gain scheme flawed dlvr.it/T70v55,"May 17, 2024 · 7:58 AM UTC",@ConstructionEnq,0.46385288,0.51831794,0.017829148
115,Plan in for £3bn Lincolnshire mega data centre dlvr.it/T70snN,"May 17, 2024 · 7:43 AM UTC",@ConstructionEnq,0.015604567,0.8302336,0.15416186
116,£210m M3 Junction 9 upgrade gains consent dlvr.it/T70sn6,"May 17, 2024 · 7:43 AM UTC",@ConstructionEnq,0.049332112,0.89690435,0.05376358
117,£400m Lewisham resi-led scheme advances dlvr.it/T70slW,"May 17, 2024 · 7:43 AM UTC",@ConstructionEnq,0.0154044125,0.8737538,0.11084179
118,"Green light for Digbeth 1,300 homes scheme dlvr.it/T70skh","May 17, 2024 · 7:43 AM UTC",@ConstructionEnq,0.0060962355,0.8597111,0.13419266
119,United Living wins 14-year L&Q homes repairs deal dlvr.it/T70sk2,"May 17, 2024 · 7:43 AM UTC",@ConstructionEnq,0.008176468,0.689731,0.30209255
120,McLaren gets go-ahead for Grade II listed Leeds student scheme dlvr.it/T70mJ5,"May 17, 2024 · 6:48 AM UTC",@ConstructionEnq,0.0041101486,0.6836324,0.31225747
121,Piling giant to fit people alarms on all rigs dlvr.it/T70kTf,"May 17, 2024 · 6:28 AM UTC",@ConstructionEnq,0.1004566,0.85037297,0.049170468
122,ROCKWOOL launches Fire Barrier EN dlvr.it/T6z3ct,"May 16, 2024 · 2:09 PM UTC",@ConstructionEnq,0.05602937,0.90795046,0.03602009
123,Scaffold training scheme launches new online safety tests dlvr.it/T6z2kv,"May 16, 2024 · 2:04 PM UTC",@ConstructionEnq,0.014300059,0.8597396,0.12596032
124,Land deal paves way for Manchester civl service office hub dlvr.it/T6yFkT,"May 16, 2024 · 8:31 AM UTC",@ConstructionEnq,0.0040169167,0.48916042,0.50682265
125,Speller Metcalfe wins Wolverhampton library upgrade dlvr.it/T6y61Q,"May 16, 2024 · 7:16 AM UTC",@ConstructionEnq,0.0034371903,0.37091452,0.62564826
126,Green light for £80m Leith waterfront revamp dlvr.it/T6y617,"May 16, 2024 · 7:15 AM UTC",@ConstructionEnq,0.0073755435,0.88933545,0.103289
127,Barratt and Redrow shareholders approve £2.5bn merger dlvr.it/T6y5zg,"May 16, 2024 · 7:15 AM UTC",@ConstructionEnq,0.0043043094,0.5046933,0.4910023
128,Vistry to make £800m profit after subcontractor cost cuts dlvr.it/T6y2Ys,"May 16, 2024 · 6:40 AM UTC",@ConstructionEnq,0.022304907,0.79997474,0.17772035
129,Tilbury Douglas clears Interserve legacy to return to profit dlvr.it/T6w05W,"May 15, 2024 · 11:50 AM UTC",@ConstructionEnq,0.011880273,0.8332507,0.15486903
130,Skills shortage puts big infrastructure projects at risk dlvr.it/T6vNn4,"May 15, 2024 · 7:16 AM UTC",@ConstructionEnq,0.7798672,0.20803477,0.012098054
131,Contractors face further insulation board price hikes dlvr.it/T6vNCC,"May 15, 2024 · 7:10 AM UTC",@ConstructionEnq,0.31672552,0.6574711,0.025803316
132,Keltbray hires new head of infrastructure procurement dlvr.it/T6vKGG,"May 15, 2024 · 6:39 AM UTC",@ConstructionEnq,0.018867003,0.9156418,0.06549124
133,Tunnel fit out robot to revolutionise civils work dlvr.it/T6vKF4,"May 15, 2024 · 6:39 AM UTC",@ConstructionEnq,0.021647427,0.7937557,0.18459688
134,Henry Boot wins £36m Rotherham Markets job dlvr.it/T6vH7J,"May 15, 2024 · 6:15 AM UTC",@ConstructionEnq,0.009766986,0.72411305,0.26612002
135,Funding deal for £86m wind turbine test centre dlvr.it/T6shfc,"May 14, 2024 · 2:44 PM UTC",@ConstructionEnq,0.016917592,0.90123445,0.08184802
136,Caddick names new north east director dlvr.it/T6rl8S,"May 14, 2024 · 7:43 AM UTC",@ConstructionEnq,0.040396668,0.93337643,0.026226878
137,London 25km Super Sewer hooked up for commissioning dlvr.it/T6rgm6,"May 14, 2024 · 7:08 AM UTC",@ConstructionEnq,0.024891125,0.9213732,0.05373574
138,Record results at maintenance specialist Renew dlvr.it/T6rghw,"May 14, 2024 · 7:08 AM UTC",@ConstructionEnq,0.038466472,0.91341543,0.048118133
139,Barhale lands £21m shaft scheme for Thames Water dlvr.it/T6rchQ,"May 14, 2024 · 6:34 AM UTC",@ConstructionEnq,0.024272926,0.9301073,0.04561978
140,Plan in for Manchester ‘upside down’ 18-storey tower dlvr.it/T6rch9,"May 14, 2024 · 6:34 AM UTC",@ConstructionEnq,0.029568639,0.90597165,0.064459704
141,£200m Lincoln ring-road approved dlvr.it/T6rcfz,"May 14, 2024 · 6:34 AM UTC",@ConstructionEnq,0.0144927865,0.8598722,0.12563509
142,Modular builder TopHat managing director departs dlvr.it/T6f5F3,"May 9, 2024 · 2:10 PM UTC",@ConstructionEnq,0.06348738,0.89985776,0.036654808
143,Graham nets £60m stands revamp at Lord’s dlvr.it/T6dqBF,"May 9, 2024 · 12:07 PM UTC",@ConstructionEnq,0.032125503,0.9239175,0.04395707
144,Network Rail names 15 firms for £3.5bn Eastern Route Partnership dlvr.it/T6dG1f,"May 9, 2024 · 7:25 AM UTC",@ConstructionEnq,0.012698812,0.9202443,0.06705689
145,33 firms wins spots on £3.6bn Northumbrian Water framework dlvr.it/T6dDff,"May 9, 2024 · 7:08 AM UTC",@ConstructionEnq,0.005273128,0.6695099,0.32521698
146,Ready mix concrete giant files administration notice dlvr.it/T6dDfS,"May 9, 2024 · 7:08 AM UTC",@ConstructionEnq,0.07635051,0.8755501,0.04809942
147,Construction boss in court over dodgy van deals dlvr.it/T6dDcn,"May 9, 2024 · 7:08 AM UTC",@ConstructionEnq,0.43293634,0.5505058,0.01655789
148,Expanding Caddick Group tops £500m turnover dlvr.it/T6d9V8,"May 9, 2024 · 6:32 AM UTC",@ConstructionEnq,0.0030526537,0.5560887,0.44085866
149,Structure Tone returns to profit dlvr.it/T6d94l,"May 9, 2024 · 6:27 AM UTC",@ConstructionEnq,0.028611569,0.88412064,0.08726782
150,Dual student towers plan for Birmingham Gun Quarter dlvr.it/T6d92w,"May 9, 2024 · 6:27 AM UTC",@ConstructionEnq,0.03682166,0.9320795,0.031098843
151,Government set to fund £1bn final HS2 London tunnel drive dlvr.it/T6ZhrN,"May 8, 2024 · 7:55 AM UTC",@ConstructionEnq,0.011326074,0.8552265,0.13344744
152,Developer fails hitting London builder and consultants for £2.6m dlvr.it/T6ZYyZ,"May 8, 2024 · 6:41 AM UTC",@ConstructionEnq,0.6845622,0.30174595,0.013691841
153,Bidding open for £800m professional services framework dlvr.it/T6ZYwz,"May 8, 2024 · 6:41 AM UTC",@ConstructionEnq,0.020830184,0.92132014,0.057849657
154,G&H Group lands £10m+ M&E package from JJ Rhatigan dlvr.it/T6ZYXT,"May 8, 2024 · 6:35 AM UTC",@ConstructionEnq,0.0051132496,0.8772008,0.1176859
155,Stricken road sweeper specialist rescued dlvr.it/T6ZYVj,"May 8, 2024 · 6:35 AM UTC",@ConstructionEnq,0.03762018,0.8580963,0.10428346
156,Amazon fires up Big-Box market with £500m job dlvr.it/T6ZWZD,"May 8, 2024 · 6:13 AM UTC",@ConstructionEnq,0.05118662,0.56348014,0.38533327
157,Costain highways lead joins Buro Happold dlvr.it/T6ZWY1,"May 8, 2024 · 6:13 AM UTC",@ConstructionEnq,0.03341381,0.91971236,0.04687381
158,SRL appoints Mark Eburne as CEO dlvr.it/T6Ym6J,"May 7, 2024 · 8:53 PM UTC",@ConstructionEnq,0.015277481,0.91051656,0.074206
159,Conquip BulkX makes site excavations easier dlvr.it/T6XRdH,"May 7, 2024 · 11:07 AM UTC",@ConstructionEnq,0.0048043556,0.26652503,0.72867066
